term,estimate,std_error,z_value,p_value,ci_lower_95,ci_upper_95
Intercept,26.870000000000022,0.5093111513972233,52.75753324129261,0.0,25.871750143261465,27.86824985673858
C(model)[T.Instruct (no COT)],-0.6150000000000947,0.6618460855187004,-0.929219063852449,0.3527755696681606,-1.9122183276167473,0.682218327616558
C(model)[T.ORPO (COT)],2.6916666666665785,0.6618460855187005,4.06690728488191,4.7641186158333906e-05,1.3944483390499256,3.9888849942832314
C(model)[T.ORPO (no COT)],2.608333333333242,0.6618460855187005,3.940996842625495,8.114369440482332e-05,1.311115005716589,3.905551660949895
C(model)[T.SFT (COT)],-2.0766666666667652,0.6618460855187004,-3.1376882210298866,0.001702859029487228,-3.3738849942834177,-0.7794483390501126
C(model)[T.SFT (no COT)],-4.751666666666768,0.6618460855187004,-7.179413417460653,7.001114369105215e-13,-6.048884994283421,-3.4544483390501153
