term,estimate,std_error,z_value,p_value,ci_lower_95,ci_upper_95
Intercept,5.290370370370336,0.08175430538807876,64.71060264358587,0.0,5.130131931809702,5.450608808930971
C(model)[T.Instruct (no COT)],0.15481481481483347,0.1048355314609511,1.4767399245025865,0.13974536571031268,-0.05066282684863069,0.36029245647829766
C(model)[T.ORPO (COT)],0.38666666666668553,0.10483553146095109,3.688316940623421,0.00022574235043292136,0.1811890250032214,0.5921443083301496
C(model)[T.ORPO (no COT)],0.4740740740740926,0.1048355314609511,4.522074409959705,6.123652365007135e-06,0.2685964324106284,0.6795517157375568
C(model)[T.SFT (COT)],-0.2229629629629442,0.10483553146095112,-2.1267881209339117,0.03343769175334838,-0.42844060462640843,-0.017485321299480022
C(model)[T.SFT (no COT)],-0.5755555555555386,0.1048355314609511,-5.490080963341328,4.01749541382195e-08,-0.7810331972190028,-0.37007791389207445
